feature,importance,rank,is_dds
dd_par_denom_H,0.026220996,1,True
dd_par_denom_S,0.022526328,2,True
ns_has_fit_S,0.020229235,3,False
ew_has_fit_S,0.018563546,4,False
ns_has_fit_H,0.018170068,5,False
dd_par_denom_N,0.016787503,6,True
dd_par_level,0.016157767,7,True
hcp_ns_advantage,0.014584855,8,False
opening_strain_PASS,0.0144647,9,False
ew_hcp,0.013728027,10,False
ns_fit_S,0.013634277,11,False
ns_hcp,0.013384871,12,False
ns_fit_H,0.01291447,13,False
ew_fit_S,0.012244587,14,False
dd_par_denom_D,0.011222044,15,True
ew_fit_H,0.010810565,16,False
auction_competitive,0.010702824,17,False
ew_has_fit_H,0.010157168,18,False
ns_dd_S,0.009721641,19,True
ew_dd_H,0.009556897,20,True
ew_dd_S,0.00938904,21,True
ns_dd_H,0.00906636,22,True
ew_best_fit,0.008997845,23,False
ns_best_fit,0.008672104,24,False
ns_best_suit_D,0.008333796,25,False
ns_both_balanced,0.0082790535,26,False
ew_fit_C,0.008251877,27,False
dd_par_denom_C,0.008128193,28,True
auction_has_double,0.007826447,29,False
ew_fit_D,0.007708789,30,False
ew_best_suit_D,0.00733178,31,False
ns_fit_C,0.0072405757,32,False
ew_best_suit_S,0.0069903717,33,False
auction_doubled,0.0069161993,34,False
ew_has_fit_C,0.00688329,35,False
opening_level,0.0068402495,36,False
ew_best_suit_H,0.0068400684,37,False
ew_best_suit_C,0.006697452,38,False
ns_fit_D,0.0066560353,39,False
ns_dd_C,0.006472335,40,True
ns_has_fit_C,0.006442864,41,False
ns_best_suit_C,0.0064121266,42,False
ew_has_fit_D,0.0061846795,43,False
auction_len,0.0060197106,44,False
ns_best_suit_H,0.0059320275,45,False
opening_strain_S,0.005905395,46,False
opening_strain_N,0.0059025036,47,False
auction_ew_bids,0.0057688095,48,False
ew_both_balanced,0.0057648085,49,False
auction_ns_bids,0.0057186987,50,False
ns_dd_D,0.005654877,51,True
ew_ltc,0.0056019938,52,False
W_balanced,0.005548743,53,False
ns_best_suit_S,0.0054575107,54,False
dd_par_score,0.005418318,55,True
ns_ltc,0.0054103835,56,False
ew_dd_C,0.0049395077,57,True
ew_dd_N,0.0049335635,58,True
ns_nt_stoppers,0.00493076,59,False
ns_dd_N,0.0049302964,60,True
ns_has_fit_D,0.0048926086,61,False
ns_stopper_S,0.0048337,62,False
N_balanced,0.0048118588,63,False
ew_stopper_S,0.0047617177,64,False
opening_strain_H,0.0047317725,65,False
ew_nt_stoppers,0.0046372307,66,False
S_balanced,0.004623728,67,False
ew_dd_D,0.0046099336,68,True
ns_controls,0.0045278086,69,False
ew_controls,0.0044843196,70,False
N_longest_C,0.004246211,71,False
W_singletons,0.004232468,72,False
ns_stopper_H,0.0042299405,73,False
ns_stopper_D,0.004220975,74,False
W_stopper_C,0.004191529,75,False
N_stopper_D,0.0041000973,76,False
E_longest_suit_len,0.0040878453,77,False
ns_stopper_C,0.0040825303,78,False
E_balanced,0.0040396354,79,False
E_longest_S,0.0039840085,80,False
S_len_S,0.0039795353,81,False
N_len_C,0.003973082,82,False
N_longest_suit_len,0.0039613685,83,False
N_singletons,0.003956628,84,False
S_len_H,0.0039561116,85,False
S_longest_C,0.003945866,86,False
E_stopper_H,0.003940644,87,False
E_len_S,0.0039171046,88,False
W_len_H,0.003915544,89,False
S_stopper_H,0.0038957107,90,False
N_stopper_C,0.0038831406,91,False
N_stopper_H,0.0038388974,92,False
E_stopper_C,0.0037990587,93,False
E_singletons,0.003798806,94,False
S_longest_suit_len,0.0037844614,95,False
W_hcp,0.0037494092,96,False
dd_par_declarer_is_ns,0.0037385267,97,True
E_len_D,0.0037193845,98,False
S_singletons,0.003711625,99,False
N_hcp,0.0036776871,100,False
S_controls,0.0036739497,101,False
S_longest_S,0.003657379,102,False
N_len_H,0.003652195,103,False
W_len_D,0.0036321336,104,False
S_len_D,0.003620922,105,False
W_ltc,0.0036194439,106,False
S_voids,0.0036084258,107,False
E_hcp,0.0036080775,108,False
N_stopper_S,0.0036010896,109,False
W_stopper_H,0.0035787355,110,False
W_len_S,0.0035732386,111,False
S_hcp_H,0.00356521,112,False
S_stopper_C,0.0035606076,113,False
W_longest_suit_len,0.003559306,114,False
W_controls,0.0035226166,115,False
E_controls,0.0035202885,116,False
N_ltc,0.0035190647,117,False
E_longest_D,0.0035172007,118,False
dealer_N,0.003509436,119,False
E_hcp_S,0.0035023438,120,False
N_hcp_H,0.0034949598,121,False
E_len_C,0.0034901346,122,False
dealer_E,0.0034873162,123,False
N_len_S,0.0034805862,124,False
W_longest_C,0.0034771252,125,False
ew_stopper_H,0.0034735855,126,False
N_len_D,0.0034713913,127,False
N_longest_H,0.0034665624,128,False
W_hcp_C,0.0034650299,129,False
S_len_C,0.0034596734,130,False
S_ltc,0.0034470898,131,False
E_hcp_H,0.0034462942,132,False
E_hcp_C,0.0034276454,133,False
E_ltc,0.0034268925,134,False
S_doubletons,0.0034258845,135,False
ew_stopper_D,0.0034228587,136,False
vuln_ew,0.0034224775,137,False
S_hcp,0.003410276,138,False
W_len_C,0.0034054671,139,False
S_longest_H,0.0033967064,140,False
E_len_H,0.003392069,141,False
N_hcp_D,0.0033889369,142,False
S_hcp_C,0.0033738958,143,False
N_hcp_S,0.003373519,144,False
S_hcp_S,0.0033655372,145,False
W_longest_S,0.0033611667,146,False
opening_strain_D,0.0033602205,147,False
N_voids,0.0033594037,148,False
N_longest_S,0.003353214,149,False
ew_stopper_C,0.0033531012,150,False
W_hcp_H,0.0033443805,151,False
N_hcp_C,0.0033432962,152,False
E_hcp_D,0.0033324454,153,False
E_stopper_D,0.0033219678,154,False
E_stopper_S,0.0033192982,155,False
S_stopper_S,0.0033143007,156,False
W_hcp_S,0.003306073,157,False
W_longest_H,0.0032961804,158,False
dealer_S,0.003295999,159,False
W_doubletons,0.0032927757,160,False
N_longest_D,0.0032927122,161,False
N_controls,0.003289047,162,False
S_hcp_D,0.003281669,163,False
S_stopper_D,0.0032463006,164,False
vuln_none,0.0032346568,165,False
W_voids,0.003218949,166,False
opening_strain_C,0.0032136107,167,False
E_doubletons,0.0031948993,168,False
W_stopper_S,0.0031756035,169,False
S_longest_D,0.0031650169,170,False
W_hcp_D,0.0031649114,171,False
dealer_W,0.003150552,172,False
W_longest_D,0.0031347969,173,False
N_doubletons,0.0031266403,174,False
vuln_both,0.0031061068,175,False
E_voids,0.0030728742,176,False
W_stopper_D,0.002982529,177,False
E_longest_C,0.0029702387,178,False
vuln_ns,0.002807901,179,False
E_longest_H,0.002664416,180,False
auction_alerts,0.002404756,181,False
auction_redoubled,0.0,182,False
